Time,prey,predator
0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
1.001001001001001062e-01,7.273802443332771261e+00,3.163984398035298629e+00
2.002002002002002123e-01,7.944407442213901938e+00,3.359452151601220127e+00
3.003003003003003046e-01,8.216158342979026585e+00,3.575668245673241596e+00
4.004004004004004247e-01,8.281609318464228764e+00,3.805693340403874192e+00
5.005005005005005447e-01,8.250548344565094894e+00,4.045600545788986757e+00
6.006006006006006093e-01,8.175442556512338754e+00,4.293113476893644531e+00
7.007007007007007848e-01,8.079816281942441947e+00,4.546732568344143743e+00
8.008008008008008494e-01,7.974089638847656758e+00,4.805295279352142401e+00
9.009009009009009139e-01,7.862979512019261819e+00,5.067777127697416617e+00
1.001001001001001089e+00,7.748750511095073179e+00,5.333209153396575530e+00
1.101101101101101154e+00,7.632611383004680228e+00,5.600648831007197792e+00
1.201201201201201219e+00,7.515311965699149610e+00,5.869174702958488865e+00
1.301301301301301283e+00,7.397397098624364453e+00,6.137891069464323834e+00
1.401401401401401570e+00,7.279314175923500052e+00,6.405936391117939444e+00
1.501501501501501634e+00,7.161457148578236342e+00,6.672492295387521644e+00
1.601601601601601699e+00,7.044184776339736054e+00,6.936791957574325096e+00
1.701701701701701763e+00,6.927826177938604779e+00,7.198126972032317106e+00
1.801801801801801828e+00,6.812682557516799520e+00,7.455852872908056206e+00
1.901901901901902114e+00,6.699027508748740090e+00,7.709391493587701483e+00
2.002002002002002179e+00,6.587106432215006357e+00,7.958233144158928241e+00
2.102102102102102243e+00,6.477136182735375947e+00,8.201937061505876869e+00
2.202202202202202308e+00,6.369305024986282149e+00,8.440131130441946183e+00
2.302302302302302373e+00,6.263773678275660117e+00,8.672507168068978700e+00
2.402402402402402437e+00,6.160676233783084044e+00,8.898818835040625430e+00
2.502502502502502502e+00,6.060121695372885142e+00,9.118877691859266221e+00
2.602602602602602566e+00,5.962195221272397205e+00,9.332548618048191358e+00
2.702702702702703075e+00,5.866959644996502021e+00,9.539745443792659430e+00
2.802802802802803139e+00,5.774457867366554531e+00,9.740424787552779406e+00
2.902902902902903204e+00,5.684714905950269070e+00,9.934582815747544871e+00
3.003003003003003268e+00,5.597739659363842435e+00,1.012224968124253444e+01
3.103103103103103333e+00,5.513526420999584232e+00,1.030348509591201100e+01
3.203203203203203397e+00,5.432056197607865400e+00,1.047837412307356253e+01
3.303303303303303462e+00,5.353299650225279649e+00,1.064702325141700179e+01
3.403403403403403527e+00,5.277218989005937999e+00,1.080955643790332488e+01
3.503503503503503591e+00,5.203767698220186588e+00,1.096611230530810843e+01
3.603603603603603656e+00,5.132892863852875465e+00,1.111684084740776512e+01
3.703703703703703720e+00,5.064536506467857357e+00,1.126190099228012897e+01
3.803803803803804229e+00,4.998636457577994463e+00,1.140145801483150834e+01
3.903903903903904293e+00,4.935127465786759871e+00,1.153568161725862140e+01
4.004004004004004358e+00,4.873941840476860854e+00,1.166474426668082387e+01
4.104104104104104422e+00,4.815010255320436805e+00,1.178881964989800224e+01
4.204204204204204487e+00,4.758262594539167445e+00,1.190808137507414877e+01
4.304304304304304551e+00,4.703628163818357244e+00,1.202270189917280696e+01
4.404404404404404616e+00,4.651036343150519059e+00,1.213285159344749964e+01
4.504504504504504681e+00,4.600417013055539961e+00,1.223869810143520276e+01
4.604604604604604745e+00,4.551700773157435265e+00,1.234040598878678274e+01
4.704704704704704810e+00,4.504819435164040264e+00,1.243813536938050035e+01
4.804804804804804874e+00,4.459706189428972678e+00,1.253204236953099304e+01
4.904904904904904939e+00,4.416295558606501359e+00,1.262227872884191271e+01
5.005005005005005003e+00,4.374523715525536538e+00,1.270899144102152611e+01
5.105105105105105068e+00,4.334328532417711877e+00,1.279232264676322828e+01
5.205205205205205132e+00,4.295649724497839550e+00,1.287240942205437833e+01
5.305305305305305197e+00,4.258428927404493081e+00,1.294938416255510383e+01
5.405405405405406150e+00,4.222609649713060520e+00,1.302337431177535265e+01
5.505505505505506214e+00,4.188137243992425596e+00,1.309450244253353546e+01
5.605605605605606279e+00,4.154958971706445681e+00,1.316288621638476464e+01
5.705705705705706343e+00,4.123024025422903804e+00,1.322863870909435491e+01
5.805805805805806408e+00,4.092283458529918150e+00,1.329186844429905712e+01
5.905905905905906472e+00,4.062690146677677028e+00,1.335267944959177022e+01
6.006006006006006537e+00,4.034198794997490900e+00,1.341117140349887826e+01
6.106106106106106601e+00,4.006765849805919544e+00,1.346743986466431586e+01
6.206206206206206666e+00,3.980349469894577386e+00,1.352157626889458797e+01
6.306306306306306730e+00,3.954909436313995830e+00,1.357366809707845690e+01
6.406406406406406795e+00,3.930407390163501713e+00,1.362379854211664743e+01
6.506506506506506859e+00,3.906806266041343179e+00,1.367204811742226056e+01
6.606606606606606924e+00,3.884070698422896317e+00,1.371849335640472134e+01
6.706706706706706989e+00,3.862166694911203457e+00,1.376320765880253738e+01
6.806806806806807053e+00,3.841061737186294955e+00,1.380626100251482491e+01
6.906906906906907118e+00,3.820724428903443659e+00,1.384772054567698873e+01
7.007007007007007182e+00,3.801124760692319970e+00,1.388765028139692959e+01
7.107107107107107247e+00,3.782233986360763023e+00,1.392611161577973178e+01
7.207207207207207311e+00,3.764024620256787745e+00,1.396316315641448647e+01
7.307307307307307376e+00,3.746470332983665052e+00,1.399886103668914217e+01
7.407407407407407440e+00,3.729545896350165535e+00,1.403325886941453859e+01
7.507507507507508393e+00,3.713227006853526913e+00,1.406640801420061848e+01
7.607607607607608458e+00,3.697490407254481859e+00,1.409835757104639242e+01
7.707707707707708522e+00,3.682313572065341045e+00,1.412915504651309639e+01
7.807807807807808587e+00,3.667675890139239669e+00,1.415884388501363667e+01
7.907907907907908651e+00,3.653556251228176066e+00,1.418746861103113588e+01
